query,SA,SQA,BNSL,true,postgres_est
SELECT * FROM movie_link WHERE link_type_id = 6,Graph_1: 5503.0,Graph_1: 5503.0,3160.76,5503.0,5503.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 6,Graph_1: 410.0,Graph_1: 410.0,0.26,410.0,104.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497 AND link_type_id = 13,Graph_1: 0.01406,Graph_1: 0.01406,0.0,1.0,1.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497,Graph_1: 1.0,Graph_1: 1.0,0.0,1.0,1.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 5,Graph_1: 0.0,Graph_1: 0.0,,,
SELECT * FROM movie_link WHERE movie_id = 50 AND linked_movie_id = 257907 AND link_type_id = 6,Graph_1: 2143.98519,Graph_1: 2143.98519,0.0,1.0,1.0
