query_sql,Graph_1.png,Graph_2.png,Graph_3.png
SELECT * FROM nhanes_data WHERE DIQ010 = 1,2199.0,2199.0,2198.95004
SELECT * FROM nhanes_data WHERE BMXBMI = 3 AND DIQ010 = 0,6.60975,9.0,8.99799
SELECT * FROM nhanes_data WHERE age_group = 1 AND BMXBMI = 3 AND DIQ010 = 0,2.93766,4.0,1.42349
SELECT * FROM nhanes_data WHERE age_group = 0 AND BMXBMI = 1 AND DIQ010 = 1,661.65449,675.0,652.84524
SELECT * FROM nhanes_data WHERE age_group = 0 AND BMXBMI = 0 AND DIQ010 = 0,0.37796,0.0,0.0
SELECT * FROM nhanes_data WHERE age_group = 1 AND RIAGENDR = 0 AND BMXBMI = 2 AND DIQ010 = 1,75.95019,75.6,57.29361
