query_sql,Graph_1.png
SELECT * FROM movie_link WHERE link_type_id = 6,5503.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 6,410.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497 AND link_type_id = 13,0.01406
SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497,1.0
SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 5,0.0
SELECT * FROM movie_link WHERE movie_id = 50 AND linked_movie_id = 257907 AND link_type_id = 6,2143.98519
