query_sql,Graph_1.png,Graph_2.png,Graph_3.png
SELECT * FROM wetgrass_data WHERE wetgrass = 'f',20.862,17.46,20.862
SELECT * FROM wetgrass_data WHERE rain = 'f' AND wetgrass = 'f',20.862,17.46,20.862
SELECT * FROM wetgrass_data WHERE sprinkler = 'off' AND rain = 'f' AND wetgrass = 'f',20.862,17.46,20.862
SELECT * FROM wetgrass_data WHERE cloud = 'f' AND sprinkler = 'off' AND rain = 'f',8.54,9.8,8.54
SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'on' AND rain = 'f',3.66,2.4,3.66
SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'off' AND rain = 't' AND wetgrass = 'f',0.0,0.0,0.0
