query_sql,true_cardinality,bn_est_cardinality,pg_est_cardinality
"SELECT * FROM wetgrass_data WHERE wetgrass = 'f'",18,18.0,18
"SELECT * FROM wetgrass_data WHERE rain = 'f' AND wetgrass = 'f'",18,18.0,11
"SELECT * FROM wetgrass_data WHERE sprinkler = 'off' AND rain = 'f' AND wetgrass = 'f'",18,18.0,4
"SELECT * FROM wetgrass_data WHERE cloud = 'f' AND sprinkler = 'off' AND rain = 'f'",10,10.5,16
"SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'on' AND rain = 'f'",2,3.15,11
"SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'off' AND rain = 't' AND wetgrass = 'f'",0,0.0,1
