query_sql,true_cardinality,bn_est_cardinality,est_selectivity
SELECT * FROM transactions WHERE Bread = '1',84,84.0,0.8400000000
SELECT * FROM transactions WHERE Beer = '1' AND Diapers = '1',63,63.0,0.6300000000
SELECT * FROM transactions WHERE Milk = '1' AND Diapers = '1',61,61.0,0.6100000000
SELECT * FROM transactions WHERE Eggs = '1' AND Cola = '1',0,0.0,0.0000000000
SELECT * FROM transactions WHERE Bread = '1' AND Diapers = '1' AND Milk = '1',45,48.65,0.4864556962
SELECT * FROM transactions WHERE Beer = '1' AND Bread = '0' AND Cola = '1' AND Diapers = '1' AND Eggs = '0' AND Milk = '1',16,8.51,0.0850632911
