query_sql,true_cardinality,bn_est_cardinality,pg_est_cardinality
"SELECT * FROM transactions WHERE Bread = '1'",84,84.0,84
"SELECT * FROM transactions WHERE Beer = '1' AND Diapers = '1'",63,63.0,52
"SELECT * FROM transactions WHERE Milk = '1' AND Diapers = '1'",61,61.0,65
"SELECT * FROM transactions WHERE Eggs = '1' AND Cola = '1'",0,0.0,7
"SELECT * FROM transactions WHERE Bread = '1' AND Diapers = '1' AND Milk = '1'",45,48.65,54
"SELECT * FROM transactions WHERE Beer = '1' AND Bread = '0' AND Cola = '1' AND Diapers = '1' AND Eggs = '0' AND Milk = '1'",16,8.51,2
